ORTHO;PERIODE;NBLET;CP_U;GRAM
neige;4;5;550.30;NC
neiger;4;6;8.36;VER
reine;4;5;160.61;NC
seize;4;5;22.32;ADJ
treize;4;6;8.26;ADJ
yeux;4;4;473.66;NC
youpi;4;5;1.13;INT
yoyo;4;4;0.62;NC
y;1;1;2297.87;PRO
lu;1;2;134.97;VER
lys;1;3;#N/A;#N/A
sas;1;3;#N/A;#N/A
solo;1;4;#N/A;#N/A
sumo;1;4;#N/A;#N/A
samossa;1;7;#N/A;#N/A
mémé;1;4;0.38;NC
mémo;1;4;#N/A;#N/A
salué;1;5;0.62;VER
vis;1;3;3.89;VER
vissé;1;5;#N/A;#N/A
lava;1;4;#N/A;#N/A
vomi;1;4;0.61;VER
ré;1;2;10.67;NC
mûrir;1;5;3.90;VER
vomir;1;5;#N/A;#N/A
mars;1;4;28.60;NC
sevré;1;5;#N/A;#N/A
survolé;1;7;#N/A;#N/A
râlé;1;4;#N/A;#N/A
soulevé;1;7;0.61;VER
souri;1;5;0.61;VER
savouré;1;7;#N/A;#N/A
loué;1;4;#N/A;#N/A
avoué;1;5;#N/A;#N/A
réussir;1;7;3.82;VER
voulu;1;5;63.43;VER
réussi;1;6;16.18;VER
ravioli;1;7;#N/A;#N/A
velours;1;7;5.55;NC
vivre;1;5;35.61;VER
ouvre;1;5;359.53;VER
sourire;1;7;65.17;NC
rousse;1;6;41.39;ADJ
lilas;1;5;89.93;NC
louve;1;5;0.61;NC
livre;1;5;609.20;NC
mûre;1;4;8.36;ADJ
marié;1;5;#N/A;#N/A
momie;1;5;#N/A;#N/A
loue;1;4;1.21;VER
arrivée;1;7;107.47;NC
roule;1;5;85.97;VER
ravit;1;5;#N/A;#N/A
valse;1;5;0.38;NC
alors;1;5;1038.09;ADV
narval;1;6;#N/A;#N/A
savonne;1;7;0.50;VER
sonnerie;1;8;8.25;NC
sonné;1;5;#N/A;#N/A
âne;1;3;187.87;NC
renoue;1;6;#N/A;#N/A
orne;1;4;#N/A;#N/A
rémunéré;1;8;#N/A;#N/A
alarme;1;6;13.49;NC
lui;1;3;2932.50;PRO
suis;1;4;862.24;VER
nuit;1;4;766.74;NC
minuit;1;6;28.95;NC
suite;1;5;217.89;NC
suivi;1;5;5.28;VER
vit;1;3;212.31;VER
sort;1;4;325.45;VER
savoure;1;7;#N/A;#N/A
avale;1;5;34.75;VER
où;1;2;1162.05;PRO
fou;1;3;108.19;ADJ
ouf;1;3;68.91;INT
fil;1;3;259.56;NC
fourmi;1;6;64.62;NC
fané;1;4;#N/A;#N/A
film;1;4;72.62;NC
fémur;1;5;#N/A;#N/A
mât;1;3;12.09;NC
fuit;1;4;16.39;VER
fuir;1;4;3.89;VER
fouine;1;6;#N/A;#N/A
fruit;1;5;67.88;NC
frime;1;5;#N/A;#N/A
soufflé;1;7;3.90;VER
frémir;1;6;#N/A;#N/A
flou;1;4;#N/A;#N/A
rafale;1;6;#N/A;#N/A
ramasse;1;7;61.53;VER
souffre;1;7;7.43;VER
offre;1;5;40.00;VER
farouche;1;8;#N/A;#N/A
Chine;1;5;10.20;NP
charrié;1;7;#N/A;#N/A
charrue;1;7;#N/A;#N/A
marche;1;6;255.92;VER
offrir;1;6;19.53;VER
achat;1;5;3.96;NC
râle;1;4;0.62;VER
mâche;1;5;0.52;VER
je;1;2;6741.35;PRO
réjouir;1;7;#N/A;#N/A
ravive;1;6;#N/A;#N/A
ramené;1;6;12.06;VER
foule;1;5;43.59;NC
samedi;1;6;141.14;NC
défi;1;4;#N/A;#N/A
fluide;1;6;#N/A;#N/A
dorade;1;6;#N/A;#N/A
limonade;1;8;48.17;NC
rodéo;1;5;#N/A;#N/A
dessous;1;7;0.52;NC
déjà;1;4;394.77;ADV
safari;1;6;#N/A;#N/A
admire;1;6;30.90;VER
lionne;1;6;0.61;NC
allume;1;6;76.03;VER
ananas;1;6;63.38;NC
sommes;1;6;58.35;VER
dévoré;1;6;#N/A;#N/A
douché;1;6;#N/A;#N/A
tôt;1;3;67.91;ADV
tout;1;4;1587.52;ADV
tous;1;4;920.86;ADJ
toute;1;5;582.36;ADJ
chuchote;1;8;57.32;VER
lotte;1;5;#N/A;#N/A
