ORTHO;PERIODE;NBLET;CP_U;GRAM;freq_CP;nblet_mot;CV_ortho;CV_phono;is_easy_vc
belle;2;5;400.52;ADJ;frequents;court;CVCCV;CVC;0
elle;2;4;8507.24;PRO;frequents;court;VCCV;VC;0
ferme;2;5;158.31;NC;frequents;court;CVCCV;CVCC;0
festin;2;6;0.42;NC;rares;long;CVCCVC;CVCCV;0
galette;2;7;60.06;NC;frequents;long;CVCVCCV;CVCVC;0
jette;2;5;109.76;VER;frequents;court;CVCCV;CVC;0
lettre;2;6;186.65;NC;frequents;long;CVCCCV;CVCC;0
pelle;2;5;92.42;NC;frequents;court;CVCCV;CVC;0
perdu;2;5;284.08;VER;frequents;court;CVCCV;CVCCV;0
perle;2;5;8.32;NC;rares;court;CVCCV;CVCC;0
poubelle;2;8;19.72;NC;rares;long;CVVCVCCV;CVCVC;0
quel;2;4;540.36;ADJ;frequents;court;CVVC;CVC;0
reste;2;5;288.36;VER;frequents;court;CVCCV;CVCC;0
serpent;2;7;78.97;NC;frequents;long;CVCCVCC;CVCCV;0
terre;2;5;569.25;NC;frequents;court;CVCCV;CVC;0
verre;2;5;227.4;NC;frequents;court;CVCCV;CVC;0
vert;2;4;433.81;ADJ;frequents;court;CVCC;CVC;0
veste;2;5;110.51;NC;frequents;court;CVCCV;CVCC;0
ça;2;2;827.61;PRO;frequents;court;CV;CV;0
ce;2;2;1453.13;DET;frequents;court;CV;CV;0
ceci;2;4;7.68;PRO;rares;court;CVCV;CVCV;1
cela;2;4;301.36;PRO;frequents;court;CVCV;CVCV;1
cet;2;3;181.99;DET;frequents;court;CVC;CVC;0
cette;2;5;938.85;DET;frequents;court;CVCCV;CVC;0
ci;2;2;25.9;ADV;rares;court;CV;CV;0
ciel;2;4;231.89;NC;frequents;court;CVVC;CYVC;0
cil;2;3;19.75;NC;rares;court;CVC;CVC;0
cirque;2;6;216.58;NC;frequents;long;CVCCVV;CVCC;0
citron;2;6;126.2;NC;frequents;long;CVCCVC;CVCCV;0
douce;2;5;32.8;ADJ;rares;court;CVVCV;CVC;0
épice;2;5;2.49;NC;rares;court;VCVCV;VCVC;1
facile;2;6;103.17;ADJ;frequents;long;CVCVCV;CVCVC;1
garçon;2;6;535.11;NC;frequents;long;CVCCVC;CVCCV;0
glace;2;5;332.42;NC;frequents;court;CCVCV;CCVC;0
glaçon;2;6;10.7;NC;rares;long;CCVCVC;CCVCV;0
ici;2;3;253.98;ADV;frequents;court;VCV;VCV;1
leçon;2;5;96.92;NC;frequents;court;CVCVC;CVCV;0
police;2;6;65.26;NC;frequents;long;CVCVCV;CVCVC;1
prince;2;6;110.03;NC;frequents;long;CCVCCV;CCVC;0
puce;2;4;19.47;NC;rares;court;CVCV;CVC;1
reçu;2;4;87.88;VER;frequents;court;CVCV;CVCV;1
piscine;2;7;174.83;NC;frequents;long;CVCCVCV;CVCVC;0
scie;2;4;15.4;NC;rares;court;CCVV;CV;0
agir;3;4;1.05;VER;rares;court;VCVC;VCVC;0
bougie;3;6;58.46;NC;frequents;long;CVVCVV;CVCV;0
cage;3;4;154.77;NC;frequents;court;CVCV;CVC;1
étage;3;5;10.75;NC;rares;court;VCVCV;VCVC;1
fromage;3;7;292.47;NC;frequents;long;CCVCVCV;CCVCVC;0
garage;3;6;107.46;NC;frequents;long;CVCVCV;CVCVC;1
gorge;3;5;3.89;NC;rares;court;CVCCV;CVCC;0
juge;3;4;3.97;NC;rares;court;CVCV;CVC;1
mange;3;5;399.35;VER;frequents;court;CVCCV;CVC;0
mangé;3;5;198.15;VER;frequents;court;CVCCV;CVCV;0
nage;3;4;63.28;VER;frequents;court;CVCV;CVC;1
orange;3;6;73.1;NC;frequents;long;VCVCCV;VCVC;0
page;3;4;140.13;NC;frequents;court;CVCV;CVC;1
plage;3;5;31.04;NC;rares;court;CCVCV;CCVC;0
rouge;3;5;604.79;ADJ;frequents;court;CVVCV;CVC;0
sage;3;4;16.23;ADJ;rares;court;CVCV;CVC;1
singe;3;5;62.87;NC;frequents;court;CVCCV;CVC;0
amuse;3;5;98.36;VER;frequents;court;VCVCV;VCVC;1
assise;3;6;29.61;VER;rares;long;VCCVCV;VCVC;0
base;3;4;0.61;NC;rares;court;CVCV;CVC;1
bise;3;4;3.86;NC;rares;court;CVCV;CVC;1
bison;3;5;0.62;NC;rares;court;CVCVC;CVCV;0
bisou;3;5;12.69;NC;rares;court;CVCVV;CVCV;0
cerise;3;6;35.48;NC;rares;long;CVCVCV;CVCVC;1
chose;3;5;202.75;NC;frequents;court;CCVCV;CVC;0
cousin;3;6;67.69;NC;frequents;long;CVVCVC;CVCV;0
désert;3;6;8.2;NC;rares;long;CVCVCC;CVCVC;0
écrasé;3;6;1.25;VER;rares;long;VCCVCV;VCCVCV;0
